file_name,timestamp_sec,label
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,0.081,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,0.534,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,0.882,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,1.567,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,1.834,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,2.101,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,2.984,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,4.040,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,4.249,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,6.513,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,10.913,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,11.749,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,12.167,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,12.434,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,12.643,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,12.968,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,14.199,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,14.826,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,14.988,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,15.325,ambient_noise
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,15.546,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,16.138,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,16.324,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,16.684,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,17.543,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,18.262,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,18.437,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,19.435,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,19.853,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,20.410,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,20.619,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,21.188,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,21.989,ambient_noise
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,27.330,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,27.922,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,28.143,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,29.083,ambient_noise
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,29.582,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,29.977,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,41.494,ambient_noise
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,43.735,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,44.315,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,44.559,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,44.942,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,45.221,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,45.825,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,46.672,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,46.916,shoe_squeak
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,47.137,racket_hit
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,48.135,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,56.773,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,56.947,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,57.318,grunt_speech
Carlos Alcaraz v Novak Djokovic Highlights | Australian Open 2026 Final_720p.mp4,57.609,grunt_speech
