participant,q12_changed_experience,q13_natural_or_distracting,q14_other_comments
P01,Not a big difference.,It felt nature. no distracting.,"A dummy racked would work better for me, and I prefer only feeling the vibration when one athlete hit the tennis."
P02,I concentrated more. I had fewer distractions. But I noticed a slight mismatch in the timing,Not natural. But fun,Synchronization can distort [transcription uncertain]. I think one time it missed a shot
P03,"Yes, the vibration can drag me into the exciting sports, can help me more concentrate. And the application can help me have the feel of my hand, it seems I'm in this match, it's more reality, more interesting.","The vibration feel natural, not distracting. It give me feeling of myself match.","If the vibration's strength more stronger, it would be have more exciting feeling. The power of vibration can help viewer have more exciting feeling."
P04,Much more engagement,Some time distracting. I may expect some response from the app,the overall experience is better. It is better to produce higher level and longer time span of the vibration when the hit is stronger.
P05,"Yes, a little. I can feel that I am in the tennis game.",Natural. Most of time it match the hit of the ball.,"It is a mobile app, so how to ensure during the video playing time avoid to others message or apps' notification vibration?"
P06,More engaging,"Natural, difference between gentle hits and smash is a bit too small",phone is too big to hold.
P07,The clip with vibration gave me the feeling of being a part of a game rather than only a viewer,The vibration felt natural and I sensed the game better.,"I guess, if the vibration matches more precisely with some movements like scoring a goal, or hitting the racket harshly from the competitor side, it would be more effective like you are riding on a roller coaster and when it goes up or down fast, you feel something in your heart. In some exciting moments of the game feeling the vibration would be enjoyable and exciting."
P08,No. Because I prefer the visual experience.,Yes. Because the vibration feedback just reflected the hitting voice and didn't contain other information in the game.,No.
P09,Definitely YES. I feel a part of the game when I watched the video with vibration.,feels nature. It makes me feels like I am the on who play the game.,It would be even better if the feedback on the hitting force could be provided.
P10,"Yes, it helped me to find out easily whether they get the ball.",Natural. The feedback is slight.,It'll be better if it report the result by different vibration
P11,I just wait the next vibration. and less focus on what the match displayed.,distracting. my feeling just focus on my hand and I forget the content I watched (my eyes can't focusing at all),I think I can not deal with (combinate) these two part of my body feeling at the same time without training.
P13,"It feels like playing by ourselves. Feels like I'm also holding the racket, and I will have the urge to swing my hands along.","It's natural. I use the strongest mode already, but it's still not too strong because the vibration while I'm actually playing tennis is even stronger.","If the vibration could be even stronger, I would like it even more."
P14,"when I'm not focused vb helps me focused but when I'm focused vb distract me from watching  [""vb"" = vibration]",half and half,vb has a limitation to express action because it moves for only ball touch. If it has different sequence could help  [transcription uncertain]
P17,I was more engaged,"Initially I thought it would be distracting but I was surprised how engaged I was. I'm unsure if I would use it for watching every sporting event, however it would be interesting to know over an extended period of time",The vibration feedback was in sync with what I was viewing.
P18,The game's points felt more noticeable with the haptic feedback and I got to focus more on the game rather than whether they hit the ball or not.,It was unusual at first but I got used to it at the end.,This haptic feedback was useful for when the sound was not very loud so I couldn't hear the points / the ball being hit.
P22,It is great but holding the phone is tiresome. I would welcome another device.,natural. It's like using a playstation joystick.,Maybe another device so I am not tired after a few minutes of holding it.
